height,upper_arm_length,arm_circum,hip_circum
158.4,36,26.5,101.1
164.7,38.1,30.5,97.4
156.9,34,28.5,101.7
158.1,35,22.2,88.7
158.2,35,32,100.3
162,34.4,32.7,99.3
160.2,37.2,51.6,177.4
159.1,36.8,24.8,86.8
166.7,38,29.2,100.4
159.2,37,31.5,106.4
164.8,36.4,30.3,97
163.2,36.8,32.3,109.3
155.2,35.7,35.1,108
176.7,38.7,28.2,99.7
162.1,37,32,100
158.3,34.2,38.4,132.4
162.8,33.2,24,89.9
155.6,33.7,27,95.3
166.7,37.5,39.8,131.6
162,36.2,29.3,94.2
159.9,35,26,96.6
170.2,35.7,23.9,91.4
157.9,37.6,30.5,108.8
172.1,40,45.7,142.6
166.4,37,33.9,117.5
171.1,39.2,34,117.6
163.8,36.7,30.7,104.1
165.3,37.9,27.9,98.5
165.3,35.1,38,119.9
169.1,35.8,23.9,91.4
164.7,37,36.8,111.1
173.5,39,21,NA
156.5,37.2,40.7,114.4
163.9,35.2,25.5,108
160.3,36,26.9,95.6
160.7,38,34.2,107.8
158.4,35.1,42.2,134.9
158.2,34.1,35.2,106.4
158.4,35,34.7,107.9
153.3,35.5,30.5,94.3
173.5,39,31.8,102
151.8,34,24.3,84.8
147.7,34,37.6,112.5
157.5,34,41.7,125.2
155.9,34,32,109.2
161.7,35.8,29.6,99.4
158.8,33.5,40.5,147.2
165.8,38,32.5,113
155.2,33.8,32.2,102.9
162.1,34.3,28.6,97.9
163,37,38.4,120.5
163.5,NA,NA,NA
159.8,36.5,40,131.5
164.6,35,33,101.7
160.6,36,31.7,107.5
155,37.7,33.9,108.7
160.8,35,29.8,98
180.4,42.5,39.7,116.8
168,36.2,29.8,100.8
151,31.9,21.1,84.2
157.5,35,42.5,136.5
168.7,39,36.9,129.6
164,37.8,39.9,133
154.5,31.7,29.5,98.2
170.9,38,30.8,106.3
157,32.5,26,95.1
156.8,35,39.4,126
159.2,36,43,125.6
163.2,NA,NA,NA
147,30.7,21.3,79.4
149.5,34,20.7,80.8
175.8,39.4,28.1,108.7
147.9,31.6,30.6,98.5
165.3,34.6,26.9,92.4
NA,NA,NA,NA
150.8,33.8,26.2,88.1
154.8,33.6,33,105.2
168,37,34.4,119.5
166.8,35.1,37.5,132.5
155.8,35.8,39.9,128.4
172.9,37.5,20,83
164.9,36.1,26.8,93.8
163.4,36.4,25.8,96.6
165.3,37.6,36.8,118.5
156.3,NA,NA,NA
163.2,37.5,35.2,108.7
171.6,39,43.1,146.2
163.3,36.5,32.4,109.8
164.1,38,32.5,NA
149.8,33.2,30.2,96.1
163.5,40.3,41.7,122.7
160.8,35.6,29.5,102.8
157.7,34.9,23,87.7
171,39.5,42.2,129.4
160.3,35,25.2,85
159.2,36.4,33.1,108
162.4,36.8,33.3,110.5
161.8,31.6,35.7,108.8
160.7,32.4,26.4,91.1
154.9,33.5,25.5,93
161.6,36,28,89.1
166.1,40,34.6,114
169.6,38,26.5,94.3
156.3,34,31.2,95.1
161.8,NA,NA,NA
145.9,31,33.2,113
169.3,37.3,37.4,117.2
160.3,34,35.6,122.7
168.3,34.5,27.2,92
160.9,38,52.7,148.8
167.7,NA,NA,NA
159,NA,NA,NA
153,33.5,26.8,83.6
165,38.5,37.6,116
150.9,32,28,93.3
143.9,32.2,22.8,81
167,37.6,42.7,141.2
172.6,37,27,98.4
163,36,34.2,103.2
170.8,37.5,29.5,95.3
157,32.6,30.7,103.8
162.3,33.4,24.4,93.6
159,35,24.1,90.5
171.1,37,31.7,109.3
157.9,34,29.1,96.5
163.7,36.2,36,118.6
164.1,35.1,29,98.6
161.8,38.7,31.2,101.9
164.1,37.7,43.4,131.1
165,38.1,28.8,103.6
152.4,30.6,28,91.4
165.2,39.5,45.2,143.8
169.8,38,38.8,118.3
167.7,37.1,41,121.8
162.5,36.6,28.5,94.9
163.3,37.2,23.2,91.1
160.4,34.2,26.9,94
166.4,NA,NA,NA
167.5,35.5,40.9,124.2
149,32.5,23.5,84.9
158.4,36.3,27.5,91.8
158.2,33.6,30.2,94.2
146.6,31,24.2,83.5
158.1,35.2,33.8,112
148.6,33.6,26.5,91
162.2,36.6,30,104.3
162.5,35.7,32.9,103.7
150.2,35.8,31.4,103.5
154.6,32,25.2,87.3
159.4,32.5,34,121.4
159.7,34.5,35.4,106.9
176.9,38.5,26.5,94.4
173.5,38.5,38.6,112.4
162.1,37,42,123
159.1,37,31.6,110.2
158.7,35,25,87
160.5,38,45.6,141.7
174,39.5,30.5,105.8
158.8,34.8,24.4,87.2
153.3,36,45.1,139
169.3,38.1,33.5,106.7
161.6,36.7,40.5,115.4
157,32.6,26.1,90.6
155.4,33.5,28.1,89.2
154.6,36,35.4,109.5
167.4,38,32.5,NA
166.1,35.5,34,116.4
156,34.7,35.3,105.4
161,35.5,31.4,101.5
154.8,34,27.6,96.4
154.5,35.5,29.2,96.5
146.7,33,28.2,90.9
154.5,30.8,25.6,95.1
153.8,34.7,29,104.6
170.6,37.3,26.6,92.4
156.4,33.6,35.6,115.7
155.6,32,22.5,86.9
159.5,39,38.2,116.2
163.3,37,31.6,103.5
153.7,35.5,39,123
156.9,33.4,27.2,102.2
159.7,32.8,27.1,98.7
160.5,33,25.8,87.6
156.9,35.5,34.2,106.5
156.7,35.5,31.2,102.8
156.7,34,23.2,88.2
157.9,33.7,34.1,100.3
169.3,36.5,22.7,90.3
159.2,35,22.7,83
142.3,32.8,39.2,110.6
172.3,37.5,47.5,138
166.9,36.4,28,99.4
158.6,36.8,26.7,97.4
159.8,36.5,34.3,112
171.4,36.8,32.8,109.5
164.5,36.1,28.1,97.3
169,37,30.5,109.2
160.8,41.3,49.5,156.5
159.5,35,21.6,83.8
158.7,35.1,25.2,92.7
161.1,34.8,25.2,93.6
169.3,38.5,31.3,111.8
158.1,34.5,28,91.5
159.4,34.4,35.6,109.4
154.2,34.5,38.1,116.6
149.2,34,33.2,103.5
163.1,35.1,24.9,85.4
174.6,NA,NA,NA
161.5,39,39.7,128.7
160.8,36.3,29,100.2
176.4,36.8,25.6,97.3
157.8,31.7,26.8,92.4
155,37,32,99.7
165.8,37,40.6,135.9
182.4,39.9,30.8,105.3
151.5,32.5,34.8,114.7
164.2,35.9,26.4,97.4
165.2,37.6,31.9,100.7
158.5,33.2,36.4,109.7
171,36.7,24.6,88.4
168.9,37.5,26.7,92
156.5,NA,NA,NA
153.5,34.4,32.2,103.2
154.5,34.3,41.6,121.6
156.8,34,25.9,94.8
172.6,37.6,26.9,104
171,38.4,28.7,101.9
171.9,39.1,30,100.8
162.1,36.8,32,103.5
167.9,35.4,23.6,87.3
